Date,Open,High,Low,Close,Volume,Turnover
2020-01-17,10147.15,10187.35,10133.55,10164.65,,
2020-01-20,10188.0,10200.9,10084.7,10093.15,,
2020-01-21,10071.6,10075.65,10007.65,10015.6,,
2020-01-22,10039.2,10039.9,9969.8,9981.0,,
2020-01-23,9983.85,10063.2,9975.8,10057.5,,
2020-01-24,10066.95,10179.5,10058.45,10164.35,,
2020-01-27,10145.35,10189.3,10112.35,10125.45,,
2020-01-28,10144.85,10145.25,10039.75,10058.3,,
2020-01-29,10108.05,10153.75,10099.35,10127.45,,
2020-01-30,10142.05,10145.45,9991.4,10009.75,,
2020-01-31,10050.95,10052.65,9886.4,9904.45,,
2020-02-01,9907.45,9980.65,9738.15,9766.1,,
2020-02-03,9749.0,9943.35,9746.95,9886.4,,
2020-02-04,9942.9,10034.95,9926.3,10014.6,,
2020-02-05,10049.85,10064.45,9970.45,10013.95,,
2020-02-06,10041.9,10088.9,9982.3,10025.9,,
2020-02-07,10061.7,10073.1,10022.15,10055.55,,
2020-02-10,10066.2,10066.2,9957.5,9979.1,,
2020-02-11,10038.9,10068.55,10005.35,10015.1,,
2020-02-12,10043.25,10131.45,10040.7,10097.65,,
2020-02-13,10101.85,10106.45,10048.1,10084.35,,
2020-02-14,10083.65,10119.75,9977.1,10001.8,,
2020-02-17,10019.45,10023.1,9932.05,9939.3,,
2020-02-18,9933.65,9943.65,9845.7,9925.45,,
2020-02-19,9988.2,10029.35,9949.1,10023.45,,
2020-02-20,10030.9,10062.5,9983.35,9990.7,,
2020-02-24,9962.05,9967.6,9795.9,9811.0,,
2020-02-25,9850.55,9898.7,9784.9,9796.8,,
2020-02-26,9766.7,9795.45,9682.5,9707.55,,
2020-02-27,9706.6,9710.45,9607.55,9694.75,,
2020-02-28,9514.5,9531.3,9337.4,9355.7,,
2020-03-02,9488.45,9587.15,9302.75,9367.4,,
2020-03-03,9436.95,9558.25,9384.8,9527.55,,
2020-03-04,9570.6,9603.05,9412.4,9561.6,,
2020-03-05,9610.05,9711.9,9605.1,9635.15,,
2020-03-06,9404.0,9541.9,9353.85,9506.75,,
2020-03-09,9352.0,9365.5,9040.75,9138.45,,
2020-03-11,9062.1,9214.75,9042.4,9146.25,,
2020-03-12,8863.65,8876.65,8408.15,8495.2,,
2020-03-13,8051.55,8755.3,7529.35,8531.4,,
2020-03-16,8322.1,8354.95,8000.55,8057.85,,
2020-03-17,8086.35,8321.95,7987.5,8097.85,,
2020-03-18,8201.35,8237.3,7723.0,7761.8,,
2020-03-19,7442.1,7772.6,7232.3,7513.65,,
2020-03-20,7569.85,8087.05,7539.6,7992.65,,
2020-03-23,7350.6,7518.2,7132.4,7169.7,,
2020-03-24,7300.5,7564.7,7202.85,7413.9,,
2020-03-25,7309.9,7668.25,7300.25,7627.3,,
2020-03-26,7730.0,7940.3,7646.3,7868.4,,
